Код ресурса,Наименование,Ед.изм.
27.51.25.110.89.1.63.01-0012-000,"Электроводонагреватели накопительные вертикальные, объем 10 л, мощность 2 кВт, размер 315х270х280 мм",шт
27.51.25.110.89.1.63.01-0013-000,"Электроводонагреватели накопительные вертикальные, объем 15 л, мощность 1,25 кВт, размер 300х400х300 мм",шт
27.51.25.110.89.1.63.01-0014-000,"Электроводонагреватели накопительные вертикальные, объем 30 л, мощность 1,5 кВт, размер 520х368х390 мм",шт
27.51.25.110.89.1.63.01-0011-000,"Электроводонагреватели накопительные вертикальные, объем 5 л, мощность 2 кВт, размер 265х225х235 мм",шт
27.51.25.110.89.1.63.01-0015-000,"Электроводонагреватели накопительные вертикальные, объем 50 л, мощность 1,5 кВт, размер 740х368х390 мм",шт
27.51.25.110.89.1.63.01-0016-000,"Электроводонагреватели накопительные горизонтальные навесные, объем 80 л, мощность 1,25 кВт, размер 780х460х520 мм",шт
27.51.25.110.63.1.01.04-0012-000,"Электроводонагреватель проточный двухфланцевый, производительность 1050 л/ч, мощность 42 кВт",шт
27.51.25.110.63.1.01.04-0013-000,"Электроводонагреватель проточный двухфланцевый, производительность 1200 л/ч, мощность 48 кВт",шт
27.51.25.110.63.1.01.04-0014-000,"Электроводонагреватель проточный двухфланцевый, производительность 1200 л/ч, мощность 54 кВт",шт
27.51.25.110.63.1.01.04-0015-000,"Электроводонагреватель проточный двухфланцевый, производительность 1500 л/ч, мощность 60 кВт",шт
27.51.25.110.63.1.01.04-0011-000,"Электроводонагреватель проточный двухфланцевый, производительность 900 л/ч, мощность 36 кВт",шт
27.51.25.110.63.1.01.04-0031-000,"Электроводонагреватель проточный трехфланцевый, производительность 1800 л/ч, мощность 72 кВт",шт
27.51.25.110.63.1.01.04-0032-000,"Электроводонагреватель проточный трехфланцевый, производительность 2100 л/ч, мощность 84 кВт",шт
27.51.25.110.63.1.01.04-0033-000,"Электроводонагреватель проточный четырехфланцевый, производительность 2400 л/ч, мощность 96 кВт",шт
27.51.25.110.63.1.01.04-0034-000,"Электроводонагреватель проточный четырехфланцевый, производительность 2700 л/ч, мощность 108 кВт",шт
27.51.25.110.63.1.01.04-0035-000,"Электроводонагреватель проточный четырехфланцевый, производительность 3000 л/ч, мощность 120 кВт",шт
27.51.25.110.63.1.01.04-0016-000,"Электроводонагреватель проточный, производительность 120 л/ч, мощность 6 кВт",шт
27.51.25.110.63.1.01.04-0017-000,"Электроводонагреватель проточный, производительность 180 л/ч, мощность 7,5 кВт",шт
27.51.25.110.63.1.01.04-0019-000,"Электроводонагреватель проточный, производительность 230 л/ч, мощность 9 кВт",шт
27.51.25.110.63.1.01.04-0020-000,"Электроводонагреватель проточный, производительность 230 л/ч, мощность 9,45 кВт",шт
27.51.25.110.63.1.01.04-1140-000,"Электроводонагреватель проточный, производительность 300 л/ч, мощность 12 кВт",шт
27.51.25.110.63.1.01.04-0023-000,"Электроводонагреватель проточный, производительность 380 л/ч, мощность 15 кВт",шт
27.51.25.110.63.1.01.04-0025-000,"Электроводонагреватель проточный, производительность 450 л/ч, мощность 18 кВт",шт
27.51.25.110.63.1.01.04-0027-000,"Электроводонагреватель проточный, производительность 600 л/ч, мощность 24 кВт",шт
27.51.25.110.63.1.01.04-0029-000,"Электроводонагреватель проточный, производительность 750 л/ч, мощность 30 кВт",шт
25.93.15.120.59.1.01.07-0398-000,Электрод (сенсор) типа ААВ1423 для обслуживания анализатора,10 шт
25.93.15.120.59.1.01.07-0399-000,Электрод (стеклянный футляр с ионами серебра) типа ССР4 для обслуживания анализатора,10 шт
25.93.15.120.22.2.02.19-1022-000,Электрод ЭГТ-2500,шт
25.93.15.120.20.5.05.02-0001-000,"Электрод грунтовый с кабелем длиной 22 м, рабочее напряжение 5-10 кВ, размеры гильзы 60х430 мм",шт
25.93.15.120.59.1.12.01-0374-000,Электрод для обслуживания анализатора железа,шт
25.93.15.120.59.1.01.07-0400-000,Электрод кислородный типа В023 для обслуживания анализатора,10 шт
25.93.15.120.59.1.12.01-0373-000,Электрод с покрытием хлорида серебра pH для обслуживания анализатора мультипараметров,шт
25.93.15.120.59.1.01.07-0372-000,"Электрод сварочный Э46, диаметр 2 мм",т
25.93.15.120.59.1.01.07-0375-000,"Электрод сварочный Э46, диаметр 5 мм",т
25.93.15.120.59.1.01.07-0373-000,"Электрод сварочный Э46А, диаметр 2 мм",т
25.93.15.120.20.5.05.02-0004-000,"Электрод сравнения с датчиком потенциала, двумя мембранами без экранирующей оплеткой соединительных проводников, переходное электрическое сопротивление 0,1 - 15,0 кОМ, потенциал по отношению к хлорсеребряному электроду 120±30 мВ, длина проводников не менее 2500 мм",шт
25.93.15.120.20.5.05.02-0002-000,"Электрод сравнения с датчиком потенциала, одной мембраной без экранирующей оплеткой соединительных проводников, переходное электрическое сопротивление 0,1 - 15,0 кОМ, потенциал по отношению к хлорсеребряному электроду 120±30 мВ, длина проводников не менее 2500 мм",шт
25.93.15.120.20.5.05.02-0003-000,"Электрод сравнения с датчиком потенциала, одной мембраной и экранирующей оплеткой соединительных проводников, переходное электрическое сопротивление 0,1 - 15,0 кОМ, потенциал по отношению к хлорсеребряному электроду 120±30 мВ, длина проводников не менее 2500 мм",шт
27.11.23.000.89.1.77.04-0016-000,"Электродвигатель стрелочный постоянного тока встраиваемый, коллекторный, номинальное напряжение 200 В мощность 550 Вт",шт
20.51.12.150.01.7.09.02-0033-000,Электродетонаторы ЭД-ЗД,1000 шт
20.51.12.150.01.7.09.02-0031-000,Электродетонаторы короткозамедленного действия водостойкие ЭД-КЗ,1000 шт
20.51.12.150.01.7.09.02-0032-000,Электродетонаторы мгновенного действия ЗД-8-Ж,1000 шт
25.93.15.120.01.7.11.07-0062-000,"Электроды ЛПС, диаметр 7 мм",т
25.93.15.120.59.1.01.07-0402-000,"Электроды ОЗС-4, диаметр 3 мм",т
25.93.15.120.01.7.11.07-0313-000,Электроды вольфрамовые сварочные для сварки высоколегированных и тугоплавких сталей,кг
25.93.15.120.01.7.11.07-0313-001,"Электроды вольфрамовые сварочные для сварки высоколегированных и тугоплавких сталей, диаметр 1 мм",кг
27.90.13.110.01.7.11.07-0220-000,"Электроды графитовые с омедненным покрытием для строжки и резки металла, диаметр 8 мм",кг
25.93.15.120.01.7.11.07-0201-000,"Электроды для наплавки поверхностей слоев с особыми свойствами Т-590, диаметр 4 мм",т
25.93.15.120.01.7.11.07-0317-000,"Электроды для наплавки поверхностей слоев с особыми свойствами Т-620, диаметр 4-5 мм",кг
25.93.15.120.01.7.11.07-0307-000,"Электроды для подводной экзотермической резки стали, диаметр 9,5 мм",т
25.93.15.120.01.7.11.07-0172-000,"Электроды для резки сталей, чугуна, меди и алюминия ОЗР-1, диаметр 3-5 мм",т
25.93.15.120.59.1.01.07-0385-000,"Электроды для сварки дуплексных нержавеющих сталей, диаметр 2,5 мм",кг
25.93.15.120.01.7.11.07-0262-000,"Электроды для сварки дуплексных нержавеющих сталей, диаметр 3,2 мм",кг
25.93.15.120.59.1.01.07-0386-000,"Электроды для сварки дуплексных нержавеющих сталей, диаметр 4,0 мм",кг
25.93.15.120.59.1.01.07-0376-000,Электроды для сварки магистральных газонефтепроводов,т
25.93.15.120.59.1.01.07-0395-000,"Электроды для сварки углеродистых сталей стандарта ASTM A106/ASME SA106, диаметр 2,6 мм",кг
25.93.15.120.59.1.01.07-0396-000,"Электроды для сварки углеродистых сталей стандарта ASTM A106/ASME SA106, диаметр 3,2 мм",кг
25.93.15.120.59.1.01.07-0397-000,"Электроды для сварки углеродистых сталей стандарта ASTM A106/ASME SA106, диаметр 4,0 мм",кг
25.93.15.120.59.1.01.07-0392-000,"Электроды для сварки хромистых теплоустойчивых сталей стандарта ASTM A335/A335M, диаметр 2,5 мм",кг
25.93.15.120.59.1.01.07-0393-000,"Электроды для сварки хромистых теплоустойчивых сталей стандарта ASTM A335/A335M, диаметр 3,2 мм",кг
25.93.15.120.59.1.01.07-0394-000,"Электроды для сварки хромистых теплоустойчивых сталей стандарта ASTM A335/A335M, диаметр 4,0 мм",кг
25.93.15.120.59.1.01.07-0389-000,"Электроды для сварки хромомолибденовых теплоустойчивых сталей стандарта ASTM A335/A335M, диаметр 2,5 мм",кг
25.93.15.120.59.1.01.07-0390-000,"Электроды для сварки хромомолибденовых теплоустойчивых сталей стандарта ASTM A335/A335M, диаметр 3,2 мм",кг
25.93.15.120.59.1.01.07-0391-000,"Электроды для сварки хромомолибденовых теплоустойчивых сталей стандарта ASTM A335/A335M, диаметр 4,0 мм",кг
25.93.15.120.59.1.01.07-0401-000,"Электроды металлические для подводной резки, ЭТС-1",т
25.93.15.120.59.1.01.07-0370-000,"Электроды сварочные АНО-4, Э46, диаметр 5 мм",кг
25.93.15.120.59.1.01.07-0371-000,"Электроды сварочные АНО-ТМ, диаметр 2,5 мм",кг
25.93.15.120.59.1.01.07-0379-000,"Электроды сварочные ЗИО-8, Э-10Х25Н13Г2, диаметр 3 мм",кг
25.93.15.120.59.1.01.07-0380-000,"Электроды сварочные ЗИО-8, Э-10Х25Н13Г2, диаметр 4 мм",кг
25.93.15.120.59.1.01.07-0381-000,"Электроды сварочные ТМЛ-5, Э-06Х1М, диаметр 5 мм",кг
25.93.15.120.59.1.01.07-0382-000,"Электроды сварочные ЦЛ-39, ЭО9ХМФ, диаметр 2,5 мм",т
25.93.15.120.59.1.01.07-0374-000,"Электроды сварочные Э42, диаметр 4 мм",т
25.93.15.120.59.1.01.07-0383-000,"Электроды сварочные ЭА-981/15, Э-09Х15Н25М6Г2Ф, диаметр 4 мм",кг
25.93.15.120.59.1.01.07-0384-000,"Электроды сварочные ЭА-981/15, Э-09Х15Н25М6Г2Ф, диаметр 5 мм",кг
25.93.15.120.01.7.11.07-0063-000,"Электроды сварочные ЭПР-1, диаметр 7 мм",т
25.93.15.120.01.7.11.07-0052-000,"Электроды сварочные ЭПС-5, диаметр 5 мм",т
25.93.15.120.01.7.11.07-0319-000,"Электроды сварочные для легированных теплоустойчивых сталей ТМЛ-5, диаметр 3-5 мм",кг
25.93.15.120.01.7.11.07-0238-000,"Электроды сварочные для сварки высоколегированных коррозионно-стойких сталей ЦТ-15, диаметр 2 мм",кг
25.93.15.120.01.7.11.07-0239-000,"Электроды сварочные для сварки высоколегированных коррозионно-стойких сталей ЦТ-15, диаметр 2,5 мм",кг
25.93.15.120.01.7.11.07-0240-000,"Электроды сварочные для сварки высоколегированных коррозионно-стойких сталей ЦТ-15, диаметр 3 мм",кг
25.93.15.120.01.7.11.07-0320-000,"Электроды сварочные для сварки высоколегированных коррозионно-стойких сталей ЦТ-15, диаметр 4-5 мм",кг
25.93.15.120.01.7.11.07-0250-000,"Электроды сварочные для сварки высоколегированных коррозионностойких сталей, наплавки коррозионно-стойкого покрытия на поверхность сталей перлитного класса ЭА-898/21Б, диаметр 4 мм",кг
25.93.15.120.01.7.11.07-0001-000,"Электроды сварочные для сварки высоколегированных сталей АНВ-20, диаметр 3-4 мм",т
25.93.15.120.01.7.11.07-0087-000,"Электроды сварочные для сварки высоколегированных сталей АНЖР-1, диаметр 3 мм",кг
25.93.15.120.01.7.11.07-0096-000,"Электроды сварочные для сварки высоколегированных сталей АНЖР-1, диаметр 4 мм",кг
25.93.15.120.01.7.11.07-0105-000,"Электроды сварочные для сварки высоколегированных сталей АНЖР-1, диаметр 5 мм",кг
25.93.15.120.01.7.11.07-0088-000,"Электроды сварочные для сварки высоколегированных сталей АНЖР-2, диаметр 3 мм",кг
25.93.15.120.01.7.11.07-0097-000,"Электроды сварочные для сварки высоколегированных сталей АНЖР-2, диаметр 4 мм",кг
25.93.15.120.01.7.11.07-0106-000,"Электроды сварочные для сварки высоколегированных сталей АНЖР-2, диаметр 5 мм",кг
25.93.15.120.01.7.11.07-0161-000,"Электроды сварочные для сварки высоколегированных сталей ЗИО-8, диаметр 3-5 мм",кг
25.93.15.120.01.7.11.07-1016-000,"Электроды сварочные для сварки высоколегированных сталей ОЗЛ-17У, диаметр 3-4 мм",т
25.93.15.120.01.7.11.07-0091-000,"Электроды сварочные для сварки высоколегированных сталей ОЗЛ-25Б, диаметр 3-4 мм",кг
25.93.15.120.01.7.11.07-0081-000,"Электроды сварочные для сварки высоколегированных сталей ОЗЛ-6, диаметр 2 мм",кг
25.93.15.120.01.7.11.07-0089-000,"Электроды сварочные для сварки высоколегированных сталей ОЗЛ-6, диаметр 3 мм",кг
25.93.15.120.01.7.11.07-0098-000,"Электроды сварочные для сварки высоколегированных сталей ОЗЛ-6, диаметр 4 мм",кг
25.93.15.120.01.7.11.07-0107-000,"Электроды сварочные для сварки высоколегированных сталей ОЗЛ-6, диаметр 5 мм",кг
25.93.15.120.01.7.11.07-0082-000,"Электроды сварочные для сварки высоколегированных сталей ОЗЛ-8, диаметр 2 мм",кг
25.93.15.120.01.7.11.07-0090-000,"Электроды сварочные для сварки высоколегированных сталей ОЗЛ-8, диаметр 3 мм",т
25.93.15.120.01.7.11.07-0099-000,"Электроды сварочные для сварки высоколегированных сталей ОЗЛ-8, диаметр 4 мм",т
25.93.15.120.01.7.11.07-0108-000,"Электроды сварочные для сварки высоколегированных сталей ОЗЛ-8, диаметр 5 мм",кг
25.93.15.120.01.7.11.07-0083-000,"Электроды сварочные для сварки высоколегированных сталей ЦЛ-11, диаметр 2 мм",кг
25.93.15.120.01.7.11.07-0092-000,"Электроды сварочные для сварки высоколегированных сталей ЦЛ-11, диаметр 3 мм",кг
25.93.15.120.01.7.11.07-0101-000,"Электроды сварочные для сварки высоколегированных сталей ЦЛ-11, диаметр 4 мм",кг
25.93.15.120.01.7.11.07-0109-000,"Электроды сварочные для сварки высоколегированных сталей ЦЛ-11, диаметр 5 мм",кг
25.93.15.120.01.7.11.07-0251-000,"Электроды сварочные для сварки высоколегированных сталей ЭА-981/15, диаметр 3 мм",кг
25.93.15.120.01.7.11.07-0321-000,"Электроды сварочные для сварки высоколегированных сталей ЭА-981/15, диаметр 4-5 мм",кг
25.93.15.120.01.7.11.07-0179-000,"Электроды сварочные для сварки высоколегированных теплоустойчивых сталей ПТ-30, диаметр 3 мм",кг
25.93.15.120.01.7.11.07-0246-000,"Электроды сварочные для сварки жаропрочных аустенитных и высокопрочных конструкционных сталей ЭА-395, диаметр 2-5 мм",кг
25.93.15.120.01.7.11.07-0243-000,"Электроды сварочные для сварки жаропрочных сталей аустенитного класса ЦТ-26, диаметр 3 мм",кг
25.93.15.120.01.7.11.07-0030-000,"Электроды сварочные для сварки коррозионно-стойких хромоникелевых и хромоникелемолибденовых сталей ЭА 400/10У, диаметр 3 мм",кг
25.93.15.120.01.7.11.07-0247-000,"Электроды сварочные для сварки коррозионностойких кислотостойких сталей ЭА-400/10Т, диаметр 3-4 мм",кг
25.93.15.120.01.7.11.07-0248-000,"Электроды сварочные для сварки коррозионностойких кислотостойких сталей ЭА-400/10Т, диаметр 4 мм",кг
25.93.15.120.01.7.11.07-0249-000,"Электроды сварочные для сварки коррозионностойких кислотостойких сталей ЭА-400/10Т, диаметр 5 мм",кг
25.93.15.120.01.7.11.07-0234-000,"Электроды сварочные для сварки легированных высокопрочных и теплоустойчивых сталей ЦЛ-17, диаметр 4-5 мм",кг
25.93.15.120.01.7.11.07-0235-000,"Электроды сварочные для сварки легированных высокопрочных и теплоустойчивых сталей ЦЛ-20, диаметр 3 мм",кг
25.93.15.120.01.7.11.07-0236-000,"Электроды сварочные для сварки легированных высокопрочных и теплоустойчивых сталей ЦЛ-39, диаметр 2,5 мм",кг
25.93.15.120.01.7.11.07-0244-000,"Электроды сварочные для сварки легированных высокопрочных и теплоустойчивых сталей ЦУ-5, диаметр 2,5 мм",кг
25.93.15.120.01.7.11.07-0005-000,"Электроды сварочные для сварки низколегированных и углеродистых сталей АНО-21, диаметр 4 мм",кг
25.93.15.120.01.7.11.07-0006-000,"Электроды сварочные для сварки низколегированных и углеродистых сталей АНО-36, диаметр 3 мм",кг
25.93.15.120.01.7.11.07-0007-000,"Электроды сварочные для сварки низколегированных и углеродистых сталей АНО-36, диаметр 4 мм",кг
25.93.15.120.01.7.11.07-0314-000,"Электроды сварочные для сварки низколегированных и углеродистых сталей АНО-4, Э46, диаметр 4-5 мм",кг
25.93.15.120.01.7.11.07-0002-000,"Электроды сварочные для сварки низколегированных и углеродистых сталей АНО-4, диаметр 3 мм",кг
25.93.15.120.01.7.11.07-0054-000,"Электроды сварочные для сварки низколегированных и углеродистых сталей АНО-6, Э42, диаметр 6 мм",т
25.93.15.120.01.7.11.07-0166-000,"Электроды сварочные для сварки низколегированных и углеродистых сталей МР-3, диаметр 2 мм",т
25.93.15.120.01.7.11.07-0165-000,"Электроды сварочные для сварки низколегированных и углеродистых сталей МР-3, диаметр 3 мм",кг
25.93.15.120.01.7.11.07-0168-000,"Электроды сварочные для сварки низколегированных и углеродистых сталей МР-3, диаметр 4-5 мм",т
25.93.15.120.01.7.11.07-0173-000,"Электроды сварочные для сварки низколегированных и углеродистых сталей ОЗС-12, Э-46, диаметр 2 мм",кг
25.93.15.120.01.7.11.07-0174-000,"Электроды сварочные для сварки низколегированных и углеродистых сталей ОЗС-12, Э-46, диаметр 3 мм",кг
25.93.15.120.01.7.11.07-0316-000,"Электроды сварочные для сварки низколегированных и углеродистых сталей ОЗС-12, Э-46, диаметр 4-5 мм",кг
25.93.15.120.01.7.11.07-0213-000,"Электроды сварочные для сварки низколегированных и углеродистых сталей ТМУ-21У, Э50А, диаметр 3-5 мм",кг
25.93.15.120.01.7.11.07-0021-000,"Электроды сварочные для сварки низколегированных и углеродистых сталей УОНИ 13/45, Э42А, диаметр 2 мм",т
25.93.15.120.01.7.11.07-0181-000,"Электроды сварочные для сварки низколегированных и углеродистых сталей УОНИ 13/45, Э42А, диаметр 2,5 мм",т
25.93.15.120.01.7.11.07-0182-000,"Электроды сварочные для сварки низколегированных и углеродистых сталей УОНИ 13/45, Э42А, диаметр 3 мм",т
25.93.15.120.01.7.11.07-0227-000,"Электроды сварочные для сварки низколегированных и углеродистых сталей УОНИ 13/45, Э42А, диаметр 4-5 мм",кг
25.93.15.120.01.7.11.07-0055-000,"Электроды сварочные для сварки низколегированных и углеродистых сталей УОНИ 13/45, Э42А, диаметр 6 мм",т
25.93.15.120.01.7.11.07-0037-000,"Электроды сварочные для сварки низколегированных и углеродистых сталей УОНИ 13/45А, Э46А, диаметр 4 мм",т
25.93.15.120.01.7.11.07-0225-000,"Электроды сварочные для сварки низколегированных и углеродистых сталей УОНИ 13/55, Э50А, диаметр 2 мм",т
25.93.15.120.01.7.11.07-0187-000,"Электроды сварочные для сварки низколегированных и углеродистых сталей УОНИ 13/55, Э50А, диаметр 2,5 мм",т
25.93.15.120.01.7.11.07-0183-000,"Электроды сварочные для сварки низколегированных и углеродистых сталей УОНИ 13/55, Э50А, диаметр 3 мм",т
25.93.15.120.01.7.11.07-0230-000,"Электроды сварочные для сварки низколегированных и углеродистых сталей УОНИ 13/55, Э50А, диаметр 4-5 мм",кг
25.93.15.120.01.7.11.07-0294-000,"Электроды сварочные для сварки низколегированных и углеродистых сталей УОНИ 13/55К, диаметр 4-5 мм",кг
25.93.15.120.01.7.11.07-0295-000,"Электроды сварочные для сварки низколегированных и углеродистых сталей УОНИ 13/55У, диаметр 4-5 мм",кг
25.93.15.120.01.7.11.07-0299-000,"Электроды сварочные для сварки низколегированных и углеродистых сталей УОНИ 13/65, Э60, диаметр 2 мм",т
25.93.15.120.01.7.11.07-0296-000,"Электроды сварочные для сварки низколегированных и углеродистых сталей УОНИ 13/65, диаметр 3 мм",кг
25.93.15.120.01.7.11.07-0297-000,"Электроды сварочные для сварки низколегированных и углеродистых сталей УОНИ 13/85, диаметр 4-5 мм",кг
25.93.15.120.01.7.11.07-0298-000,"Электроды сварочные для сварки низколегированных и углеродистых сталей УОНИ 13/НЖ, диаметр 4-5 мм",кг
25.93.15.120.01.7.11.07-0036-000,"Электроды сварочные для сварки низколегированных и углеродистых сталей Э46, диаметр 4 мм",кг
25.93.15.120.01.7.11.07-0056-000,"Электроды сварочные для сварки низколегированных и углеродистых сталей Э46, диаметр 6 мм",т
25.93.15.120.01.7.11.07-0066-000,"Электроды сварочные для сварки низколегированных и углеродистых сталей Э46, диаметр 8 мм",т
25.93.15.120.01.7.11.07-0191-000,"Электроды сварочные для сварки низколегированных и углеродистых сталей Э50, диаметр 3 мм",т
25.93.15.120.01.7.11.07-0039-000,"Электроды сварочные для сварки низколегированных и углеродистых сталей Э50, диаметр 4 мм",кг
25.93.15.120.01.7.11.07-0029-000,"Электроды сварочные для сварки низколегированных и углеродистых сталей Э55, диаметр 3 мм",т
25.93.15.120.01.7.11.07-0041-000,"Электроды сварочные для сварки низколегированных и углеродистых сталей Э55, диаметр 4 мм",т
25.93.15.120.01.7.11.07-0042-000,"Электроды сварочные для сварки низколегированных и углеродистых сталей Э60, диаметр 4 мм",т
25.93.15.120.01.7.11.07-0051-000,"Электроды сварочные для сварки низколегированных и углеродистых сталей Э60, диаметр 5 мм",т
25.93.15.120.01.7.11.07-0061-000,"Электроды сварочные для сварки низколегированных и углеродистых сталей Э60, диаметр 6 мм",т
25.93.15.120.01.7.11.07-0185-000,"Электроды сварочные для сварки низколегированных и углеродистых сталей Э60А, диаметр 4 мм",т
25.93.15.120.01.7.11.07-0203-000,"Электроды сварочные для сварки теплоустойчивых сталей ТМЛ-1У, диаметр 3 мм",кг
25.93.15.120.01.7.11.07-0204-000,"Электроды сварочные для сварки теплоустойчивых сталей ТМЛ-1У, диаметр 4 мм",кг
25.93.15.120.01.7.11.07-0205-000,"Электроды сварочные для сварки теплоустойчивых сталей ТМЛ-1У, диаметр 5 мм",кг
25.93.15.120.01.7.11.07-0206-000,"Электроды сварочные для сварки теплоустойчивых сталей ТМЛ-3У, диаметр 3 мм",кг
25.93.15.120.01.7.11.07-0031-000,"Электроды сварочные для сварки теплоустойчивых сталей ТМЛ-3У, диаметр 4 мм",т
25.93.15.120.01.7.11.07-0209-000,"Электроды сварочные для сварки теплоустойчивых сталей ТМЛ-3У, диаметр 5 мм",кг
25.93.15.120.59.1.01.07-0377-000,"Электроды сварочные для сварки цветных металлов Комсомолец-100, диаметр 3 мм",кг
25.93.15.120.59.1.01.07-0378-000,"Электроды сварочные для сварки цветных металлов Комсомолец-100, диаметр 4 мм",кг
25.93.15.120.01.7.11.07-0318-000,"Электроды сварочные для холодной сварки и наплавки чугуна МНЧ-2, диаметр 3-4 мм",кг
25.93.15.120.01.7.11.07-0142-000,"Электроды сварочные для холодной сварки и наплавки чугуна ОЗЧ-2, диаметр 3 мм",кг
25.93.15.120.01.7.11.07-0146-000,"Электроды сварочные для холодной сварки и наплавки чугуна ОЗЧ-2, диаметр 4 мм",кг
25.93.15.120.01.7.11.07-0144-000,"Электроды сварочные для холодной сварки и наплавки чугуна ЦЧ-4, диаметр 3 мм",кг
25.93.15.120.01.7.11.07-0315-000,"Электроды сварочные для холодной сварки и наплавки чугуна ЦЧ-4, диаметр 4-5 мм",кг
25.93.15.120.01.7.11.07-0194-000,"Электроды сварочные с рутиловым покрытием для сварки конструкций из углеродистых и низколегированных сталей АНО-1, диаметр 5 мм",кг
25.93.15.120.01.7.11.07-0195-000,"Электроды сварочные с рутиловым покрытием для сварки конструкций из углеродистых и низколегированных сталей АНО-1, диаметр 6 мм",кг
25.93.15.120.59.1.01.07-0387-000,"Электроды стабилизированные ниобием для сварки нержавеющих сталей стандарта ASTM A312/A312M с содержанием хрома 18% и никеля 8%, диаметр 2,5 мм",кг
25.93.15.120.59.1.01.07-0388-000,"Электроды стабилизированные ниобием для сварки нержавеющих сталей стандарта ASTM A312/A312M с содержанием хрома 18% и никеля 8%, диаметр 3,2 мм",кг
25.93.15.120.59.1.01.07-0403-000,"Электроды тип 29/9, диаметр 3 мм",т
25.93.15.120.59.1.01.07-0404-000,"Электроды тип ОЗС-4, диаметр 4-5 мм",т
25.93.15.120.59.1.01.07-0405-000,"Электроды, тип Э-12Х11НМФ, КТИ-9А, диаметр 3-4 мм",т
25.93.15.120.59.1.01.07-0406-000,"Электроды, тип ЭО9ХМФ, ТМЛ-3У, диаметр 4-6 мм",т
20.51.12.140.01.7.09.03-0021-000,Электрозажигатели огнепроводного шнура ЭЗ-ОШ,1000 шт
27.51.26.110.89.1.64.05-0019-000,Электрокалориферы ЭКО(СФО) 25,шт
27.51.26.110.89.1.64.05-0020-000,Электрокалориферы ЭКО(СФО) 40,шт
27.20.24.000.59.1.22.02-0456-000,Электролит 100 мл,10 шт
27.20.24.000.59.1.22.02-0457-000,Электролит 25 мл,10 шт
27.33.13.163.89.1.77.05-0014-000,"Электромагнит соленоидный модернизированный для управления работой электропневматических клапанов, рабочее напряжение постоянного тока 160 В, усиление рабочего хода 13 кг/с, рабочий ход сердечника 1,5 мм",шт
27.33.13.163.89.1.77.05-0013-000,"Электромагнит соленоидный модернизированный для управления работой электропневматических клапанов, рабочее напряжение постоянного тока 20 В, усиление рабочего хода 13 кг/с, рабочий ход сердечника 1,5 мм",шт
27.90.33.120.89.1.62.05-0384-000,"Электронагреватель карбидкремниевый, диаметр рабочей части 12 мм, длина рабочей части 190 мм, два холодных выхода длиной 45 мм",шт
27.90.33.120.89.1.62.05-0390-000,"Электронагреватель карбидкремниевый, диаметр рабочей части 14 мм, длина рабочей части 400 мм, диаметр выводов 25 мм, два холодных вывода длиной 350 мм",шт
27.90.33.120.89.1.62.05-0391-000,"Электронагреватель карбидкремниевый, диаметр рабочей части 18 мм, длина рабочей части 300 мм, диаметр выводов 30 мм, два холодных вывода длиной 350 мм",шт
27.90.33.120.89.1.62.05-0385-000,"Электронагреватель карбидкремниевый, диаметр рабочей части 25 мм, длина рабочей части 400 мм, два холодных выхода длиной 400 мм",шт
27.90.33.120.89.1.62.05-0386-000,"Электронагреватель карбидкремниевый, диаметр рабочей части 25 мм, длина рабочей части 400 мм, два холодных выхода длиной 450 мм",шт
27.90.33.120.89.1.62.05-0387-000,"Электронагреватель карбидкремниевый, диаметр рабочей части 30 мм, длина рабочей части 600 мм, два холодных выхода длиной 350 мм",шт
27.90.33.120.89.1.62.05-0388-000,"Электронагреватель карбидкремниевый, диаметр рабочей части 8 мм, длина рабочей части 150 мм, диаметр выводов 15 мм, два холодных вывода длиной 150 мм",шт
27.90.33.120.89.1.62.05-0389-000,"Электронагреватель карбидкремниевый, диаметр рабочей части 8 мм, длина рабочей части 180 мм, диаметр выводов 15 мм, два холодных вывода длиной 150 мм",шт
28.13.14.110.89.1.68.01-0008-000,"Электронасос центробежный погружной для загрязненных вод, типоразмер ГНОМ 10-10",шт
28.13.14.110.89.1.68.01-0001-000,"Электронасос центробежный погружной для загрязненных вод, типоразмер ГНОМ 10-10Тр",шт
28.13.14.110.89.1.68.01-0007-000,"Электронасос центробежный погружной для загрязненных вод, типоразмер ГНОМ 100-25",шт
28.13.14.110.89.1.68.01-0004-000,"Электронасос центробежный погружной для загрязненных вод, типоразмер ГНОМ 100-25Тр",шт
28.13.14.110.89.1.68.01-0009-000,"Электронасос центробежный погружной для загрязненных вод, типоразмер ГНОМ 16-16",шт
28.13.14.110.89.1.68.01-0010-000,"Электронасос центробежный погружной для загрязненных вод, типоразмер ГНОМ 16-16Г",шт
28.13.14.110.89.1.68.01-0011-000,"Электронасос центробежный погружной для загрязненных вод, типоразмер ГНОМ 16-16Тр",шт
28.13.14.110.89.1.68.01-0002-000,"Электронасос центробежный погружной для загрязненных вод, типоразмер ГНОМ 25-20",шт
28.13.14.110.89.1.68.01-0012-000,"Электронасос центробежный погружной для загрязненных вод, типоразмер ГНОМ 25-20Т",шт
28.13.14.110.89.1.68.01-0005-000,"Электронасос центробежный погружной для загрязненных вод, типоразмер ГНОМ 250-25Тр",шт
